velocidad:	9,732m/s
impactor:	3,5kg
ángulo:	50º
HIC:	472.3
Impacto en medio del capó	
tiempo	X	Y	Z
000000000000TI00	D0HEAD0000PCACXP	D0HEAD0000PCACYP	D0HEAD0000PCACZP
-0.005	-0.036214925	-0.025455503	0.015068192
-0.00495	-0.004023887	0.039399238	-0.033538859
-0.0049	-0.052310444	-0.009241788	-0.001134139
-0.00485	-0.036214925	-0.025455503	-0.06594358
-0.0048	-0.052310444	0.023185582	-0.082145911
-0.00475	-0.036214925	0.023185582	-0.06594358
-0.0047	-0.036214925	-0.009241788	-0.033538859
-0.00465	0.028167166	0.006971867	-0.033538859
-0.0046	0.092549257	-0.041669159	-0.033538859
-0.00455	0.060358204	-0.009241788	-0.033538859
-0.0045	0.044262685	0.006971867	-0.033538859
-0.00445	-0.036214925	0.071826608	0.047472913
-0.0044	-0.036214925	0.023185582	0.047472913
-0.00435	0.012071647	-0.009241788	0.047472913
-0.0043	0.028167166	0.006971867	0.096079964
-0.00425	0.076453731	0.055612953	0.031270522
-0.0042	0.060358204	-0.041669159	0.015068192
-0.00415	-0.004023887	-0.009241788	-0.001134139
-0.0041	0.012071647	-0.025455503	-0.06594358
-0.00405	-0.004023887	-0.090310245	-0.146955352
-0.004	-0.004023887	-0.074096529	-0.146955352
-0.00395	-0.020119406	0.006971867	-0.04974125
-0.0039	-0.004023887	-0.057882874	-0.098348301
-0.00385	-0.052310444	0.039399238	-0.098348301
-0.0038	0.028167166	0.088040323	-0.06594358
-0.00375	-0.036214925	-0.009241788	-0.001134139
-0.0037	0.012071647	0.006971867	0.063675243
-0.00365	-0.036214925	-0.009241788	0.015068192
-0.0036	-0.004023887	-0.041669159	0.063675243
-0.00355	-0.004023887	0.023185582	0.096079964
-0.0035	0.044262685	0.039399238	0.144687015
-0.00345	0.076453731	0.088040323	0.079877574
-0.0034	0.044262685	0.023185582	0.047472913
-0.00335	0.028167166	-0.009241788	-0.033538859
-0.0033	0.028167166	-0.025455503	-0.082145911
-0.00325	-0.036214925	-0.057882874	-0.04974125
-0.0032	-0.020119406	-0.025455503	-0.017336529
-0.00315	0.012071647	-0.009241788	0.015068192
-0.0031	-0.052310444	-0.009241788	-0.033538859
-0.00305	0.012071647	0.023185582	-0.04974125
-0.003	0.028167166	0.023185582	-0.001134139
-0.00295	0.028167166	0.088040323	0.015068192
-0.0029	-0.004023887	0.071826608	0.015068192
-0.00285	0.060358204	-0.025455503	-0.033538859
-0.0028	-0.020119406	0.039399238	-0.082145911
-0.00275	-0.036214925	0.055612953	-0.114550632
-0.0027	-0.068405963	0.055612953	-0.001134139
-0.00265	-0.068405963	-0.009241788	0.015068192
-0.0026	-0.020119406	0.006971867	0.063675243
-0.00255	0.076453731	-0.009241788	0.047472913
-0.0025	0.012071647	-0.041669159	-0.001134139
-0.00245	0.028167166	-0.041669159	-0.06594358
-0.0024	0.028167166	0.088040323	-0.04974125
-0.00235	-0.004023887	0.104253979	-0.04974125
-0.0023	-0.004023887	0.152895064	0.015068192
-0.00225	0.012071647	0.088040323	-0.017336529
-0.0022	0.060358204	-0.041669159	0.015068192
-0.00215	0.028167166	-0.074096529	-0.017336529
-0.0021	-0.036214925	-0.122737615	-0.017336529
-0.00205	-0.068405963	-0.090310245	0.031270522
-0.002	-0.052310444	-0.074096529	0.015068192
-0.00195	-0.068405963	-0.074096529	-0.017336529
-0.0019	-0.068405963	-0.041669159	-0.017336529
-0.00185	-0.036214925	-0.041669159	-0.001134139
-0.0018	-0.020119406	-0.041669159	-0.017336529
-0.00175	0.012071647	0.006971867	0.015068192
-0.0017	-0.004023887	0.039399238	0.047472913
-0.00165	0.012071647	0.039399238	0.031270522
-0.0016	0.028167166	-0.009241788	-0.001134139
-0.00155	-0.004023887	0.039399238	0.015068192
-0.0015	0.060358204	0.039399238	0.015068192
-0.00145	-0.004023887	0.055612953	0.031270522
-0.0014	-0.004023887	-0.009241788	0.079877574
-0.00135	0.012071647	-0.025455503	0.047472913
-0.0013	0.028167166	0.006971867	-0.033538859
-0.00125	0.028167166	0.006971867	-0.033538859
-0.0012	0.076453731	-0.009241788	-0.04974125
-0.00115	-0.036214925	-0.025455503	0.015068192
-0.0011	-0.020119406	0.055612953	0.031270522
-0.00105	-0.004023887	0.055612953	0.063675243
-0.001	-0.020119406	0.023185582	0.047472913
-0.00095	0.012071647	0.023185582	0.015068192
-0.0009	-0.004023887	-0.009241788	0.015068192
-0.00085	-0.004023887	0.006971867	0.031270522
-0.0008	-0.052310444	-0.041669159	-0.017336529
-0.00075	-0.068405963	-0.090310245	0.063675243
-0.0007	-0.020119406	-0.074096529	-0.001134139
-0.00065	0.028167166	-0.041669159	0.015068192
-0.0006	0.012071647	0.006971867	0.079877574
-0.00055	0.028167166	-0.009241788	0.031270522
-0.0005	0.044262685	-0.041669159	0.047472913
-0.00045	-0.004023887	-0.025455503	-0.017336529
-0.0004	0.028167166	0.039399238	0.047472913
-0.00035	-0.020119406	-0.025455503	0.079877574
-0.0003	-0.036214925	-0.009241788	0.063675243
-0.00025	-0.084501482	-0.025455503	0.063675243
-0.0002	-0.004023887	-0.041669159	0.031270522
-0.00015	0.028167166	0.023185582	0.031270522
-0.0001	0.060358204	0.006971867	-0.04974125
-5.00E-05	0.012071647	0.023185582	-0.04974125
0	0.012071647	-0.009241788	-0.001134139
5.00E-05	-0.004023887	-0.057882874	0.063675243
0.0001	0.108644776	-0.138951271	0.177091736
0.00015	0.076453731	-0.090310245	0.792781126
0.0002	0.543223881	-1.160413473	2.688456435
0.00025	2.088393979	-3.268192618	5.345642228
0.0003	3.826710396	-4.030235856	7.905614037
0.00035	4.486627035	-3.754602997	10.06052699
0.0004	4.100334339	-4.241013615	12.00480952
0.00045	4.180811815	-4.159945338	14.678198
0.0005	4.341767244	-4.241013615	17.87006201
0.00055	3.90718811	-4.468005269	21.22394766
0.0006	3.102411919	-3.900526373	24.95048918
0.00065	2.41030448	-3.851885169	29.24411215
0.0007	1.879152231	-4.386936753	34.39646162
0.00075	1.187044792	-4.954415886	40.0834886
0.0008	0.5593194	-5.878595917	46.41860594
0.00085	0.20521791	-6.770348637	53.15878691
0.0009	-0.004023887	-7.224331944	60.17440428
0.00095	-0.406411953	-7.499964325	67.15761961
0.001	-0.937564201	-7.808024495	74.15703215
0.00105	-1.178996987	-7.516178219	81.0106317
0.0011	-1.452620931	-7.240545361	87.49157347
0.00115	-2.048155136	-6.818989842	93.32442107
0.0012	-2.498829908	-5.797527401	98.42815794
0.00125	-3.046077557	-4.613928406	102.5273553
0.0013	-3.834758348	-3.3979021	105.5896036
0.00135	-4.591247625	-1.776533453	107.7931177
0.0014	-5.396023817	-0.349729179	109.3161432
0.00145	-6.506614752	0.736587675	110.3206903
0.0015	-7.697683401	1.790477188	110.9363748
0.00155	-8.486363955	2.828153045	111.2604257
0.0016	-8.904847689	3.687478454	111.3738367
0.00165	-9.242853708	4.465735347	111.2442209
0.0017	-9.452095575	4.887291343	110.9363748
0.00175	-9.387713022	5.308846862	110.3530923
0.0018	-9.19456727	5.746616275	109.6239892
0.00185	-9.097994394	5.681761653	108.7976648
0.0019	-9.065803118	5.714188964	107.9551431
0.00195	-9.081898279	5.600693138	107.2746469
0.002	-9.081898279	5.24399224	106.561741
0.00205	-9.049707003	4.952145965	105.9298517
0.0021	-9.01751668	4.952145965	105.1521341
0.00215	-9.162375994	4.90350476	104.0503732
0.0022	-9.419904299	4.887291343	102.8352014
0.00225	-9.645241327	4.854863555	101.7172357
0.0023	-9.613051004	4.741368206	100.7775003
0.00235	-9.677432604	4.741368206	99.96738066
0.0024	-10.01543862	4.838650138	99.15726866
0.00245	-10.16029889	4.919718654	98.10411467
0.0025	-10.0476299	4.952145965	96.88893523
0.00255	-9.983247347	4.952145965	95.78717436
0.0026	-10.03153474	4.595444591	94.7502252
0.00265	-10.03153474	4.076606662	94.02112212
0.0027	-9.854483194	3.800974281	93.56745543
0.00275	-9.757910318	3.76854697	92.96796812
0.0028	-9.77400548	3.963111312	92.23886504
0.00285	-9.886674471	4.222530277	91.29912199
0.0029	-10.07982118	4.368453414	90.19736113
0.00295	-10.09591634	4.481949241	88.99839415
0.003	-10.09591634	4.481949241	87.65359892
0.00305	-10.27296693	4.546803863	86.14677824
0.0031	-10.30515821	4.546803863	84.78577818
0.00315	-10.03153474	4.449521453	83.71642699
0.0032	-9.790101595	4.238743694	82.87389769
0.00325	-9.693528719	3.946897418	82.20960631
0.0033	-9.70962388	3.687478454	81.78834166
0.00335	-9.564764566	3.411845596	81.48049559
0.0034	-9.468190737	3.103785665	81.18885436
0.00345	-9.452095575	2.909221561	80.60557188
0.0035	-9.500382013	2.795725734	79.69823851
0.00355	-9.693528719	2.795725734	78.35344328
0.0036	-9.757910318	2.925435216	76.71700682
0.00365	-9.822292871	3.038931043	74.98335661
0.0037	-9.822292871	2.860580595	73.10388579
0.00375	-9.854483194	2.649802597	71.28921904
0.0038	-9.822292871	2.390383632	69.29632964
0.00385	-9.77400548	2.212033184	67.25483336
0.0039	-9.645241327	2.082323701	65.26194395
0.00395	-9.596954889	1.871545703	63.26905455
0.004	-9.387713022	1.693195255	61.40578474
0.00405	-9.114089556	1.482417257	59.5263101
0.0041	-8.92094285	1.271639378	57.56582655
0.00415	-8.74389226	1.125716121	55.63774504
0.0042	-8.550746508	0.639305623	53.70966734
0.00425	-8.309313364	0.233963461	51.97601332
0.0043	-8.019593782	0.006971867	50.20995726
0.00435	-7.874734468	-0.268660753	48.4439012
0.0044	-7.633301325	-0.398370235	46.77505888
0.00445	-7.295295305	-0.511866047	45.44646468
0.0045	-6.925098486	-0.771285004	44.19888319
0.00455	-6.52271039	-1.063131331	42.9999124
0.0046	-6.393946238	-1.354977696	41.78473296
0.00465	-6.072035856	-1.61439666	40.69917693
0.0047	-5.717934198	-2.084593503	39.75944151
0.00475	-5.396023817	-2.619645088	38.78730025
0.0048	-5.138495512	-3.284406273	37.79895415
0.00485	-4.864871569	-3.997808306	37.1022531
0.0049	-4.510769911	-4.824706166	36.85921874
0.00495	-4.140573092	-5.797527401	37.00503935
0.005	-3.770376034	-6.608211606	37.06985106
0.00505	-3.577229805	-7.305399983	37.02124419
0.0051	-3.384083576	-7.775597184	36.84301772
0.00515	-3.3197015	-8.359289734	36.74580397
0.0052	-3.207032747	-8.975409596	36.64858641
0.00525	-3.078268595	-9.364538281	36.5675775
0.0053	-2.98169548	-9.769880383	36.48656477
0.00535	-2.869026966	-10.27250489	36.34074416
0.0054	-2.563211985	-10.79134282	36.50276579
0.00545	-2.209110327	-11.45610341	36.77820601
0.0055	-1.935486622	-11.97494134	36.95643248
0.00555	-1.855008907	-12.10465059	36.9726335
0.0056	-1.710149236	-12.49377927	37.00503935
0.00565	-1.404334373	-13.20718202	37.42630019
0.0057	-0.985850759	-13.95301065	38.17160811
0.00575	-0.583462663	-15.02311429	39.14374937
0.0058	-0.245456703	-16.10943135	40.39133086
0.00585	0.140835822	-16.85526094	41.49309172
0.0059	0.38226866	-17.48759469	42.56244673
0.00595	0.671988063	-18.36313257	43.69661345
0.006	1.106567137	-19.23867234	44.81457533
0.00605	1.57333725	-20.08178338	45.7867166
0.0061	2.088393979	-20.77897271	46.67784514
0.00615	2.458590918	-21.29780969	47.69859328
0.0062	2.635641747	-21.84907541	48.73554244
0.00625	2.732214861	-22.5624772	49.69148268
0.0063	2.860979013	-23.11374292	50.59881606
0.00635	2.941456728	-23.60015306	51.47373976
0.0064	3.038029842	-24.20005998	52.31626524
0.00645	3.054125242	-24.63782892	53.04536833
0.0065	3.134602957	-25.05938539	53.58004775
0.00655	3.150698595	-25.35123262	53.79067625
0.0066	3.279462748	-25.38365945	53.77447524
0.00665	3.504800014	-25.41608629	53.79067625
0.0067	3.730137281	-25.41608629	53.93650069
0.00675	3.874997072	-25.44851312	54.32535567
0.0068	4.068143301	-25.6106511	54.89243712
0.00685	4.213003092	-25.9187108	55.42711653
0.0069	4.373958044	-26.14570245	55.8807794
0.00695	4.695868425	-26.27541169	56.1400186
0.007	4.889015131	-26.35647973	56.30204405
0.00705	5.146543436	-26.34026727	56.56127943
0.0071	5.243116312	-26.21055803	56.8043138
0.00715	5.29140275	-26.19434366	57.16076674
0.0072	5.371880465	-26.11327562	57.5334207
0.00725	5.532835894	-25.98356637	58.01949324
0.0073	5.790364199	-26.12948808	58.58657469
0.00735	5.951319151	-26.30783853	59.186062
0.0074	6.063988142	-26.59968576	59.67213072
0.00745	6.224943094	-26.64832696	60.30402388
0.0075	6.434184961	-26.46997651	60.80629744
0.00755	6.579044752	-26.12948808	61.38957991
0.0076	6.675618105	-25.83764276	61.98906722
0.00765	6.740000181	-25.74036035	62.78298201
0.0077	6.756095343	-25.70793351	63.62550749
0.00775	6.868764334	-25.82142839	64.45182433
0.0078	6.997528486	-25.88628396	65.24573912
0.00785	6.96533721	-25.75657472	65.94244017
0.0079	6.917050772	-25.36744508	66.4933206
0.00795	6.852668695	-25.205309	67.14141478
0.008	6.740000181	-25.14045343	67.96773924
0.00805	6.546853476	-25.205309	68.7454492
0.0081	6.385898523	-25.23773584	69.32873167
0.00815	6.434184961	-24.94589051	69.58797087
0.0082	6.418089323	-24.58918771	69.71759428
0.00825	6.305420809	-24.02170953	69.58797087
0.0083	5.999606066	-23.42180261	69.47455229
0.00835	5.677695684	-22.9678193	69.52315916
0.0084	5.548931532	-22.6111184	69.68518462
0.00845	5.468453817	-22.30305871	69.78239836
0.0085	5.436262541	-21.84907541	69.62037291
0.00855	5.355784826	-21.24917039	69.37733855
0.0086	5.194829874	-20.64926347	69.18291106
0.00865	4.872919493	-20.227707	69.31253447
0.0087	4.551009111	-19.85479173	69.78239836
0.00875	4.422244959	-19.69265565	70.23606505
0.0088	4.213003092	-19.33595475	70.60872282
0.00885	4.068143301	-18.88197145	70.62492003
0.0089	3.874997072	-18.46041497	70.51150908
0.00895	3.649659567	-18.08750161	70.09024443
0.009	3.295558147	-17.55244836	69.36114134
0.00905	2.844883614	-17.04982576	68.42140593
0.0091	2.329826765	-16.40127763	67.41685881
0.00915	1.846961193	-15.5257388	66.52573027
0.0092	1.57333725	-14.89340505	65.97484984
0.00925	1.315808945	-14.24485788	65.76421751
0.0093	1.251426868	-13.56388292	65.84522643
0.00935	1.203140311	-13.12611303	65.91003813
0.0094	0.993898504	-12.86669454	65.82902922
0.00945	0.816847734	-12.47756585	65.56979002
0.0095	0.623701476	-12.02358255	65.34295287
0.00955	0.366173126	-11.55338582	65.42396941
0.0096	0.028167166	-11.11561593	65.56979002
0.00965	-0.277647771	-10.83998403	65.6345941
0.0097	-0.422507472	-10.49949655	65.45637145
0.00975	-0.486889548	-9.915803044	65.05131163
0.0098	-0.631749279	-9.251042454	64.64625563
0.00985	-0.985850759	-8.699776738	64.58144392
0.0099	-1.372143335	-8.472785561	64.8244821
0.00995	-1.677958198	-8.505212872	65.19713225
0.01	-1.96767766	-8.553854077	65.37536253
0.01005	-2.257397003	-8.586281388	65.47257628
0.0101	-2.370065756	-8.472785561	65.6183969
0.01015	-2.450543232	-8.326862423	65.8938333
0.0102	-2.46663887	-8.116084664	66.02345671
0.01025	-2.418352194	-7.824237912	65.91003813
0.0103	-2.337874718	-7.386468499	65.56979002
0.01035	-2.450543232	-6.818989842	65.01890959
0.0104	-2.708071537	-6.154228299	64.30600371
0.01045	-3.013886518	-5.667818158	63.64170851
0.0105	-3.223128386	-5.294903367	62.86399474
0.01055	-3.3197015	-5.132766335	62.32931914
0.0106	-3.448465652	-5.067911713	62.07007994
0.01065	-3.625516481	-5.08412513	62.21590056
0.0107	-3.866949148	-5.165193646	62.71817412
0.01075	-3.931331224	-5.343544095	63.28525557
0.0108	-3.915235586	-5.700245469	63.836136
0.01085	-3.705993958	-6.300151913	64.37081541
0.0109	-3.545038767	-6.640638916	64.79207243
0.01095	-3.400178976	-6.673066227	64.98649992
0.011	-3.464561291	-6.31636533	64.80827727
0.01105	-3.448465652	-5.878595917	64.27360167
0.0111	-3.3357969	-5.375971406	63.78752913
0.01115	-3.480656691	-4.889561265	63.51208891
0.0112	-4.027904577	-4.435577958	63.28525557
0.01125	-4.607343264	-4.014021962	63.43107619
0.0113	-4.864871569	-3.900526373	63.85233702
0.01135	-4.880967207	-3.884312479	64.40321745
0.0114	-4.945349283	-3.932953684	64.85688414
0.01145	-5.138495512	-3.770816891	64.95409789
0.0115	-5.315546103	-3.446543067	64.56524291
0.01155	-5.428215094	-3.089841931	64.04676833
0.0116	-5.653552122	-2.797995656	63.52828993
0.01165	-5.782316275	-2.587217777	63.00981535
0.0117	-5.911080427	-2.457508295	62.4427339
0.01175	-5.959367342	-2.327798812	61.77843871
0.0118	-6.055940218	-2.181875675	61.0493318
0.01185	-6.03984458	-1.89002928	60.54705824
0.0119	-5.894985266	-1.841388195	60.5794641
0.01195	-5.782316275	-1.825174539	60.95211806
0.012	-5.621361322	-1.760319798	61.35717787
0.01205	-5.653552122	-1.695465057	61.47059264
0.0121	-5.782316275	-1.58196929	61.21135725
0.01215	-5.878889627	-1.387405066	60.74148573
0.0122	-5.766220636	-1.192840843	60.14199843
0.01225	-5.621361322	-1.095558702	59.44529738
0.0123	-5.653552122	-1.095558702	58.76480116
0.01235	-5.717934198	-1.111772387	58.06810011
0.0124	-5.637456484	-1.257695584	57.63063445
0.01245	-5.52478797	-1.322550325	57.29038634
0.0125	-5.52478797	-1.371191351	56.95013823
0.01255	-5.540883608	-1.419832437	56.67469801
0.0126	-5.460405893	-1.58196929	56.33444609
0.01265	-5.460405893	-1.598182945	55.97799696
0.0127	-5.589170046	-1.549541919	55.37850966
0.01275	-5.70183856	-1.436046093	54.68180861
0.0128	-5.70183856	-1.387405066	54.03371443
0.01285	-5.605265684	-1.436046093	53.59624876
0.0129	-5.605265684	-1.468473463	53.38562025
0.01295	-5.70183856	-1.517114549	53.20739378
0.013	-5.66964776	-1.630610316	53.04536833
0.01305	-5.605265684	-1.61439666	52.93195357
0.0131	-5.508692331	-1.500900834	52.64031233
0.01315	-5.460405893	-1.371191351	52.20284666
0.0132	-5.444310255	-1.27390924	51.65196623
0.01325	-5.251164026	-1.290122955	50.84185042
0.0133	-5.235068865	-1.338763981	49.90211119
0.01335	-5.267259665	-1.30633661	48.76794829
0.0134	-5.15459115	-1.27390924	47.53656783
0.01345	-5.074113436	-1.225268214	46.25658431
0.0135	-4.961444921	-1.176627128	44.89558424
0.01355	-4.84877593	-1.176627128	43.68040862
0.0136	-4.703916616	-1.160413473	42.49763884
0.01365	-4.623438902	-0.949635534	41.44448485
0.0137	-4.510769911	-0.819926067	40.47234358
0.01375	-4.510769911	-0.755071318	39.59741606
0.0138	-4.478579111	-0.738857633	38.90071501
0.01385	-4.430292673	-0.755071318	38.17160811
0.0139	-4.285432882	-0.771285004	37.36149229
0.01395	-4.237146444	-0.65778921	36.5675775
0.014	-4.060095377	-0.592934469	35.75745787
0.01405	-3.802567072	-0.528079725	34.68810286
0.0141	-3.609420843	-0.560507095	33.53773512
0.01415	-3.448465652	-0.54429341	32.22534575
0.0142	-3.3357969	-0.609148155	31.20459761
0.01425	-3.239223785	-0.479438676	30.24865927
0.0143	-3.190937347	-0.38215655	29.27651801
0.01435	-3.3197015	-0.38215655	28.40159048
0.0144	-3.255319424	-0.317301809	27.65628256
0.01445	-3.078268595	-0.365942864	27.26742567
0.0145	-2.949504442	-0.349729179	27.12160506
0.01455	-2.933409042	-0.365942864	27.18641486
0.0146	-3.062173195	-0.317301809	27.12160506
0.01465	-3.303605862	-0.268660753	26.87856879
0.0147	-3.367987938	-0.252447067	26.50591483
0.01475	-3.239223785	-0.236233382	25.93883337
0.0148	-3.029982157	-0.171378641	25.2907392
0.01485	-2.901218004	-0.138951271	24.73985877
0.0149	-2.708071537	-0.171378641	24.25378813
0.01495	-2.724167175	-0.074096529	23.7677175
0.015	-2.675880499	0.071826608	23.28164687
0.01505	-2.740262575	0.16910872	22.69836249
0.0151	-2.579307384	0.152895064	22.17988791
0.01515	-2.418352194	0.104253979	21.67761435
0.0152	-2.418352194	-0.009241788	21.45078101
0.01525	-2.353970118	-0.041669159	21.53179373
0.0153	-2.418352194	-0.057882874	21.66141142
0.01535	-2.498829908	-0.041669159	21.88824477
0.0154	-2.627594061	-0.025455503	22.08267226
0.01545	-2.708071537	-0.057882874	22.39051833
0.0155	-2.772453613	-0.009241788	22.503935
0.01555	-2.772453613	-0.041669159	22.52013602
0.0156	-2.772453613	-0.009241788	22.42292227
0.01565	-2.804644651	0.055612953	22.40671935
0.0157	-2.852931328	0.152895064	22.34191145
0.01575	-2.852931328	0.250177176	22.26089873
0.0158	-2.885122366	0.298818202	22.08267226
0.01585	-2.901218004	0.363673003	21.90444769
0.0159	-2.869026966	0.396100314	21.80723204
0.01595	-2.756358213	0.412313969	21.61280455
0.016	-2.724167175	0.298818202	21.11053099
0.01605	-2.643689461	0.152895064	20.52724661
0.0161	-2.627594061	0.023185582	19.99256911
0.01615	-2.627594061	-0.025455503	19.70092787
0.0162	-2.772453613	0.006971867	19.53890433
0.01625	-3.046077557	0.055612953	19.55510535
0.0163	-3.239223785	0.20153609	19.55510535
0.01635	-3.223128386	0.331245573	19.44168868
0.0164	-3.078268595	0.460955055	19.23105826
0.01645	-2.804644651	0.623091967	19.05283369
0.0165	-2.804644651	0.671732934	19.00422491
0.01655	-2.788549252	0.639305623	18.97182097
0.0166	-2.869026966	0.655519278	19.15004744
0.01665	-2.949504442	0.606878192	19.00422491
0.0167	-2.96560008	0.542023451	18.64777388
0.01675	-2.901218004	0.396100314	18.03208556
0.0168	-2.772453613	0.298818202	17.38399138
0.01685	-2.659785099	0.217749805	16.97893156
0.0169	-2.708071537	0.185322435	16.80070509
0.01695	-2.804644651	0.16910872	16.76830115
0.017	-2.852931328	0.20153609	16.5414678
0.01705	-2.933409042	0.282604547	16.26602854
0.0171	-2.82074029	0.20153609	15.90957655
0.01715	-2.740262575	0.20153609	15.56932749
0.0172	-2.804644651	0.185322435	15.2452804
